text,name
"tistical pack- ages in spite of the general difficulty of keeping reasonably current in more than one package. I have just a few remarks. I am not sure how to take the statements regarding the BMDP manual. I don't view a complete description of a program in an organized style as incompatible with a system being integrated. While allowing communication through Save Files and utilizing a common control language, the BMDP programs can each be run without wading through a large number of pages of introduction. While the BMDP control language and self-documented Save File are certainly important improvements over the old BMD programs, the improvements in the data ana lytic capabil iti es are much more important. Use of Br·1DP programs is suggested not so much because of ease but because of the information they provide. For example, the one-way analysis of covariance program tests equality of slopes, -prints slopes for each group and provides plots for each group_ Dr. James W. Frane UCLA (BMD, BMDP)  Coments on ""A Comparison of BMD, SAS and SPSS"" by Papa ioannou, Styan and Ward * This paper is confusing since it refers both to the older BMD programs and to the newer BMDP series. Unfortunately, the SMD programs are not all completely super- seded by BMDP programs so we cannot dismiss them even for IBM users. However, since the BMDP programs have been distributed to over a thousand facilities, it seems inappropriate to restrict discussion of certain statistical aspects to the BMD se",SUAD8A~1.txt
"1 GENERAL LINEAR MODELS HlOCEDURE J. H. Goodnight S.A.S. Institute, Inc. The General Linear Models procedure, GIM, is not as of this date complete.* It lacks MANOVA, OUTIUT, ME'ANS, ADJUSTED means, and TEST statements. These will be ready soon, however, since the bulk of the research activity on the new techniques employed by this procedure are completed. As it currently stands, the GIM has only the lROCEDURE, CLASSES, and MODEL statements. general form of these statements is The as follows: PROC GIM; CLASSES list; I ~ dependent list independent list options; MODEL The PROCEDURE statement has no options or parma. The CLASSES list contains cla8si- fication variables (if any) just as with PROC REGR in SAS 72. one MODEL statement will be allowed. This restriction was implemented to ~ facilitate the handling of missing values. GLM automatically groups the dependent variables which be analyzed together based on the similarity of their missing CM value structure. This guarantees that each dependent variable is analyzed with the maximum number of observations- coming into play. The list of independent effects is like that of the old ANOVA or REGR with the , addition of allowing continuous by class interaction effects, continuous within f ~ class effects, or continuous by continuous effects. A few examples follow (assume , A, B, C are CLASS variables, and X, Y, and Z are continuous): ~ MODEL a main effects model Y~ABC; f MODEL Y A B A*B ; 2 factor crossed model ~ t \ , MODEL Y ~ A X ; main effects with covariate t I MODEL Y = A X(A} fits separate slopes for each level of A = A X X*A MODEL Y here X*A tests homogeniety of slope = X Z X*X MODEL Y X*Z Z*Z a response surface model MODEL Y ~ A B(A} C(A B); nested effects MODEL Y = A A*B A*B*C; nested effects *(Editor~ This paper represents status as of February 1976)  2 Note that,although the parentheses have been retained for nested effects, they are not needed . . What an effect truly represents depends on what other effects",Sugi-76-02 Goodnight.txt
"40 THE DESIGN OF THE SAS MATRIX PROCEDURE John Sall S.A.S. Institute, Inc. THE NEED 1. ----- Tbe first exposure to computers that many students get at North Carolina State University is in the intermediate Statistical Methods course. This course concentrates mainly on analysis of variance and it would seem obvious that SAS be However, it was not SAS, but chosen as the statistical package for that course. OMNlTAB that was used for this course. The reason SAS was not used was that i t was too easy and automatic. OMNlTAB forced the students to become accustomed to specified. Later, when students became practitioners, the BAS analysis procedures would be far more desirable; but for learning statistical methods, something like OMNITAB is needed. Several writers have commented that statistical practitioners need to know two kinds of software to survive a statistical package for the routine work and a computational language such as OMNITAB or even FORTRAN with SSP to do the custom work. Several packages do combine these tasks to varying degrees. SOUPAC has a matrix manipulation package; GENSTAT, FSTAT, ESP, and other statistical packages have a few general matrix operators. Computational languages are often used in place of statistical packages: DMNlTAB with its statistical commands, FORTRAN and PLjl with SSP and IMSL, APL and SPEAKEASY with their library routines. BAS now has a MATRIX procedure. Several statistical methods courses at North Carolina State University now use it. It greatly expands the computing horizon of the BAS user: Now virtually any statistical method or numerical manipulation is available in BAS if the user is willing to specify the operations in enough detail.  41 II. DESIGN COOSIDERATIONS The general goals of"" computer software rema,in power and generality, accuracy, efficiency, and ease of use. Several more specific characteristics were deemed important for the MATRIX language and its implementation. 1. Syntax: The language should be algebraic. Us",Sugi-76-03 Sall.txt
"55 THE IN-HOUSE TRAINING OF NON-COMPUTER ORlENTED RESEARCH PERSONNEL IN THE USE OF SAS NEIL M. CASEY MISSOURI DIVISION OF HEALTH STATE CENTER FOR HEALTH STATISTICS By non-computer oriented personnel mean research analysts who are actively I engaged in the collection, analysis. and dissemination of health data. All are college graduates, some with advanced degrees, most of whom managed to traverse their entire college careers with little, if any, contact with the computer or computer programming. During the three year periOd that I have been affiliated with the Missouri Division of Health's Center for Health Statistics, we have had thirteen research analysts working at one time or another. We presently have nine analysts on our staff, seven of them are now able to at least write basic SAS programs, the other two have just joined our staff and will soon begin the training program which I will outline presently. Let me state at the outset that throughout this paper, I will be referring only to SAS-72. However, I believe that this training program can be adapted to whatever BAS system your installation has. Also, this training program has been developed to meet the specific needs of our own office, but I feel that this program can be modified· to meet the specific needs of your own shop. Orientation to the computer and SAS As I have just mentioned few of the newly hired research analysts have had any previous contact with the computers. Thus, I usually begin the training program by showing the new analyst some of our shop's previous computer runs, both of a quantitative and qualitative nature. While I am doing this I continually stress the number of cases involved in most of our work. To give you some idea of what I mean, Missouri has over the last 5 years been averaging approximately 70,000 births, 50,000 deaths, 50,000 marriages, and 20,000 divorces, and a new program just over a year old called the Missouri Hospital Discharge System, expects to average Over half a m",Sugi-76-04 Casey.txt
"71 STATISTICAL AND DATA SUPPORT TO A HETEROGENEOUS USER COMMUNITY Marion C. Carter and Richard C. Roistacher Center for Advanced Computation and Social Science Quantitative Laboratory University of Illinois, Urbana, IL 61801. 29 January 1976 The Multiple-System Environment in Data processing organizations engaged primarily production jobs performed by their own staff generally select a standard statistical and data management system. New staff members often bring experience with other systems, but are expected to learn the methods used by the organization. Such standardization allows organization ~he to use a single file type or a single family of file types. It also permits staff members to develop a single data processing vocabulary and set of operating conventions. The Social Science Quantitative Laboratory at the University of Illinois at Urbana-Champaign serves clients in the departments of Anthropology, Geography, Political Science and Sociology as well as several research institutes on campus. The Lab provides users with access to computer hardware, data archive services, consulting on University maintained software and on special software maintained by the Quantitative Laboratory. Users come from a wide variety of backgrounds. While many clients have obtained all their  72 Statistical and Data Support to Heterogeneous Users M. C. Carter and R. C. Roistacher computing experience at the University of Illinois, others, especially younger faculty members, have come from a wide variety of computing backgrounds. They differ both in the amount of their computing experience and in the sophistication of the systems with which they are familiar. The Quantitative Laboratory has had to respond to its diverse clientele with a mixed strategy of adaptation and ,. ~ r · standardization. Early attempts to persuade clients to change statistical systems met with almost uniform failure. Most clients were inextricably wedded to the system on which they had received their origi",Sugi-76-05 Carter Roistacher.txt
"escribe the evolutionary process by Which have come to use SAS in Our basic statistics course. We did not begin w£ our use of computing with SAS, and we have not yet fully converted to SAS, but I think you will find the story I can tell so far to be an interesting one. It began in 1970, When we modified our traditional two semester probability-and-statistics course to one that placed more statistical methods into the first semester. The topics covered in the new first semester became: 1) Bssic ideas of discrete probability, leading to a test for fairness of a coin. 2) Three nonparametric tests: the test of a 2 by 2 contingency table (Which we dubbed Pearson's test), the Wilcoaon-Mann-Whitney test, and the test for significance of Kendall's tau statistic. 3) Discrete and continuous rsndom variables, mean and variance, normal random variables, the central Ifmit theorem. 4) Known-variance methods for one and two populations. 5) Unknown-variance methods for one and two populations. 6) Regression and correlation. 7) Contingency tables. The above may seem like a lot of material for one semester, but we have been very successful at teaching it. We believe one reason is that the early introduction of hypothesis testing kindles the students' interest to an unusually high degree. To keep that interest strong, we have supplied the students with FORTRAN subroutines with Which to perform the major statistical tests and estimation procedures covered in the course. Also, we hsve sponsored c",Sugi-76-06 Spitanagel.txt
"90 TWO TOOLS FOR RESIDUAL ANALYSIS IN MULTIPLE REGRESSION Ronald B. Wiley Deering Milliken, Inc. Much of the statistical analySiS in our company is done under Experiment~ a tight deadline. can be well designed and measurements carefully made, but all the statistician has to do is to use his magic wand - the computer - and the results are analyzed presto! Then a , report with clear and unqualified conclusions can be written. This time schedule makes it difficult to look at the data critically. It is easy to accept a routine analysis and go on to>the next problem. Sometimes a few plots or tables would show up inconsis- tenciesor bad data and improve the analysis. Our main tool is multiple regression or analysis of variance. I want to emphasize some problems and suggest some aids for this technique. Since analysis of variance can be considered as a special case of regression, the remarks I make for regression hold for analysis of vsriance. Most statisticians realize that multiple regression is not a ""robust"" procedure. If the data does not meet the basic assumptions j the results can be incorrect and if no check is made, this is not j'. e noticed. Most textbooks state the assumptions in such a way that the ~: student is apt to believe that all data will meet these assumptions; hence, he can apply multiple regression to any data without thought. ~ Let us look at a simple 1II0del: To find the least squares solution, we do the following: yi-b 1xli-b 2XU- &1 (2) M M r (yi-bIXli-b2X2i)2 ~i=1 £i2 L F= (3) i-I M a E _ 2~ (I Ei 2)2=0 (4) :ib (Yi-blxli-b2XU) (-Xli) = 1 i=1 ab 1 i-I M M = _3_ (L &i 2) ;~2- ZI (yi-bIxli-b2X2i) (-Xu) =0 (5) ab 2 i=l i-I Giving the simultaneous equations: M M M b i L X1i2+b2 iIIXliX2i=iIIXli y1 (6) i=1 M M M ikIf(2.iZ=i~IX2i bliflXliXU+b2 y1 (7) Note that in (4) and (5) the derivative of the right hand side is set to zero, i.e. it IIIUSt be a constant. At this point the textbook us~ly II usual we assume that £i is a randolll normally distributed",Sugi-76-07 Wiley.txt
"126 MORE EFFICIENT USE OF SAS (OR THE EFFECTS OF INDULGING SAS) Robere L. Anderson Deering Milliken, Inc. MORE EFFICIENT USE OF sAS The purpose of this paper is not to expose any previously unknown or highlY sophisticated techniques for making mare efficient use of SAS. The author's intent is to discuss a collection of very simple methods he uses'for much greater efficiency. Hopefully, this will work as a catalyst to stimulate discussion and thinking among other users so that the total effect will be great savings to all. Many userS of SAS are not. systems analysts or even programmers and not aware of the effect that various uses (or abuses) of SAS :ar~ have on an Operating System. I have heard complaints from many of : ~ my associates in academia, government, and in business about the inefficiencies of SAS. SAS is not inefficient at doing wnat it is designed to do and with proper caution it can be used as a valuable tool for many non-statistical endeavors. Hopefully, through more consciousness in our .use of SAS we can generate a much wider acceptance of it as the valuable . tool that i t is. : My remarks will. be directed at some simple ways of reducing run time, conserving on line s.torage, and reducing abuse of the CPU. Since I workln a.business environment, my examples will be most directly applicable to business situatlons.  127 A. PRE-EDITING INPUT DATA One of the greatest abuses of SAS is in its use to edit large data files to obtain a relatively small amount of data. For example, in environment we quite frequently wish to draw on information ~ from some large data base or to select a small amount of dsta for analysis from a large file. Now the INPUT facility in SAS is stream su~ (edit) oriented and, as is very slow at reading a large data file. A strip program in PL/I or COBOL could quiCkly and efficiently edit the data for input to SAS. In the appendix :an example is gi.ven of a typical stri.p program (in PL/I) that I use for pre-editing data. As an exam",Sugi-76-08 Anderson.txt
"132 Using SAS for univariate time series analysis via the Box Jenkins Technique Mark J. Nicolieh Rider College r ; There are a multitude of reasons for relating a set of independent variables to a dependent variable; either forecasting, modeling, or determination of influences. The best known and widely used technique is regression analysis. Regression analysis is based on a model Yi = f(xil> xi2, ... , xij) + <i where Vi is the ith realization of the dependent 'variable, xir is the ith realization of the rth independent variable and ""i is an error introduced into the ith observation. The most basic model would be + Ei Yi = \1 where \1 is a constant. The standard regreSSion techniques go on to assume that the ""j are independent, identially distributed, have mean zero, and have constant variance. The assumption of identical distributions is reasonable, and zero mean and constant variance can often be achieved by transformation. The assumption of independence is usually overlooked. The assumption is violated when the dependent observations are taken serially in time and one of the independent variables is time, or a counting variable. When this is the case the analysis must be done via time series teChniques. Time series takes into account the dependent nature of a series of observations. This paper will provide a brief overview of time series analysis using the Box Jenkins technique, and some ideas on how to carry out some of the analysis using SAS-72, and how to do all the analyses using SAS-76 when it becomes generally available. The Box Jenkins technique will only be outlined, and readers should refer to the text, Time Series Anal sis Forecastin and Control, by G.E.P. Box and G.M. Jenkins 1970 for a full discussion. To apply the Box Jenkins method we must first have a station- ary sequence. If we view the present observation Yi as being pro- duced from some mean level, ]1, plus a shock which has a finite  133 memory of the past, then we have a stationary series.",Sugi-76-09 Nicolich.txt
"'r '>:',-._-'.'~""~""""'""""-"""""""""""".""~<I""'-,"",;""~,~~,."",,<,,,~~.n..,..,..""1'''''_ ''''~Y<''~'''~'''~4·.~'I'-_~'~.''U'''''''~' 'Cfl""'"" ·.....-u'""_"",··,·._c._ - ""0 -. -~~-~"".'~~-::~ft"",""""::<'::""'''''""M-i.''''~'''''''~:-<'';_,,-,,I'''';'.~,"",~~,,-:,,""'''' -0--' ~ ""Y · . _""'~~~r<""'o.~_'""""-- ,;·· ~_ ··,' """"':"",~""!,_-J'_-.""'-',·~e<"":;.n;;"""""",""~I.' .·'""""-""'--'l ......~-N _LT _( TIS TIC · l .~'LVSIS SYSTe"" 3:37 TUESDAY. """"'~U_~.Y ll ·. l911>_ .. ~.~_.. ') 'PROr llPrfK PG~.OC RC-OI PARIIICARO * P~INT OOF * . YTOtLl ~T-~nfLc.PfP . .... ,_"". · ~y TH~lC.L SE~y l.~tlL_ ~. ~"".u:-AJi' ~ Ices .A811OT_ · '""UTINE TO .f~D IEHlIST '.I'ITED ooTI'I.IT AND CREATE A FILE * ·· aF DUA Sf T EXTENTS, A ~ECORry IS III1ITTEN fO_ EACH EXTENT ON - THE vOlU~E; w..ETHER FREE. \l'TOC OR DITA. * · SU8SEOUE~T File IS ANAYlEO ev 'US'. * !fll n-I'!' UNITZ·OUT.onN~~E··rUTPUTt S' lIE-lOOO $ ~, SYMBOlSI DS ....OA.·----------DATA S'ET rtAME-------------. - - _ .. _ - - - ··,vO[lolf·· i - - - - - C O ' l f E N T S l l f yr-oftONYOL · 40 e~TeNT""S ~D LIJiII IC~Il"" _._ ,HlKDR-, "" _- t'FOllMAt5-' f!:[]RfiI'T 5 OS-C8 ' _ - -- -- ----. .. I';) .. _.. _ .·. .. ~--------""'- -··-··~=r SYM8""lS ISAWn-SAY.900-905.1 SVOIROL S I . DUl'IIEC-OU't .FHD · · !JSN -OUT.l""""""'44 · .~LJT · VOL .45-50. )- ~- -cut .51-Cji5. .. cRe-[)-f tIE )(1II)'T ""OU1.56-60 · -_ .. _--- --,---------,---------------_.- .. ttOEXT -OUT .61-62'. - .,,-- -~os""fiR~-;Ou-""- .63""=65 ~ ,REef"" -auT .66-61 · · 8 LKSllE - ~UT .68-12 · __ - -OUT.f3-JT. .--,-~.-.---. '.-_.-- - --_~n~ ~-. '·~L~""£Cl .ICEYl~'"" ~OtJ1 ..18-19. (HlOC L1lIk is an Abbott-wrtt""j;en prooedure ,AlllNT .OUT.8o-8~. .~uf .85-87 ~ use<l. to lillk to other languages such as UC/300· , ."" LUtrI) ,useOTK -OUT .88-93. u..ProPr1etary language of Cambridge Canput1ng» ~ -CUT _!-E )(.!NO .94-95_. ___ _ ---=""-'---- -OUT.96-100 · ,lOWTK -OUT .101-105. .... IGHT'< tOUT.I06:~_20,_ .... ~ ~ jFllll _._. __ . m_ _ ' _ _ _ ____ . ______ _ · __ """"CHECK"" STOO.IT 1 - 0_'_ - ~-.. ~----,rnjJ0T-TI'm:-T---.rm>-- IF .DSNHOR",Sugi-76-10 Trefren.txt
